No Barrel Mod
ArmCom Assault Barrel
Armcom BAR-01
Armcom BARl1
Briar Accuracy Barrel
Briar Assault Barrel
Briar Balanced Barrel
Briar BAR Grip
Briar BAR-02
Briar CQC Barrel
Briar Lightweight Barrel
Frontier Compensator Barrel
Frontier Standard Barrel
Hullbreach 047BAR
Hullbreach 057BAR
Krane Assault Barrel
Krane Heavy Assault Barrel
Krane SG Bar-20
Leatherneck Accuracy Barrel
No Grip
Ogre CQC Barrel
Overmatch A-12 Blast
Overmatch CRC-7 Post
Overmatch Heavy X3
Overmatch M-CV Breach
Prestige Frontier Standard Barrel
Raider Snub Barrel
Redsand CQC Barrel
Silverwood CQC Barrel
Silverwood Light Accuracy Barrel
Silverwood SW-09
Silverwood TechBAR
Titan Assault Barrel
Titan Extended Barrel
Titan FFB
V2 X200 Mod
V2 Z900 Mod
Vulcan Lightweight Barrel
Vulcan Tactical Barrel
